loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_kepmag
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,,0,0,0,0,6.09855603,2.5360000e-05,-2.54E-05,135.92906,3.770000e-03,-3.77E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,12.498
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,,0,0,0,0,19.5776073,1.4270000e-04,-1.43E-04,135.2032,5.970000e-03,-5.97E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,12.498
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,CANDIDATE,,0,0,0,0,0.837491225,3.0300000e-07,-3.03E-07,131.574858,2.820000e-04,-2.82E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,10.961
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,,0,0,0,0,45.29422297,5.6000000e-05,-5.60E-05,138.678725,9.870000e-04,-9.87E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,10.961
60,6889235,K00074.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,5.188671659,2.1880000e-06,-2.19E-06,125.879388,3.530000e-04,-3.53E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.96
61,7199397,K00075.01,,CANDIDATE,CANDIDATE,,0,0,0,0,105.8817667,1.3120000e-04,-1.31E-04,156.97935,1.010000e-03,-1.01E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.775
62,9955262,K00076.01,,CANDIDATE,CANDIDATE,,0,0,0,0,77.4794704,2.4560000e-04,-2.46E-04,154.70734,2.300000e-03,-2.30E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.143
63,9552608,K00080.01,,CANDIDATE,CANDIDATE,,0,0,0,0,9.250572762,2.8970000e-06,-2.90E-06,135.407531,2.590000e-04,-2.59E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.31
64,8823868,K00081.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,23.8761144,2.2390000e-05,-2.24E-05,143.07006,7.730000e-04,-7.73E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.409
65,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,,0,0,0,0,16.14567193,7.4400000e-06,-7.44E-06,134.754877,3.940000e-04,-3.94E-04,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
66,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,,0,0,0,0,10.31174786,1.2260000e-05,-1.23E-05,134.07991,1.000000e-03,-1.00E-03,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
67,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,,0,0,0,0,27.4536146,1.0770000e-04,-1.08E-04,145.02866,3.450000e-03,-3.45E-03,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
68,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,,0,0,0,0,7.07136119,3.0850000e-05,-3.09E-05,139.98763,3.810000e-03,-3.81E-03,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
69,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.28691996,2.9470000e-05,-2.95E-05,135.85427,4.520000e-03,-4.52E-03,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
70,10187017,K00082.06,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,22.4098677,1.6510000e-04,-1.65E-04,147.38366,6.460000e-03,-6.46E-03,,,,,,,,,,,,,,6,,,q1_q17_dr25_tce,11.492
71,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.286964466,3.8310000e-06,-3.83E-06,135.9945,3.400000e-04,-3.40E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.898
72,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,,0,0,0,0,5.859935955,3.7820000e-06,-3.78E-06,132.040528,5.420000e-04,-5.42E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.018
73,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.154911236,2.5070000e-06,-2.51E-06,133.498613,9.390000e-04,-9.39E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.018
74,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,,0,0,0,0,8.13121389,1.9020000e-05,-1.90E-05,137.99254,1.880000e-03,-1.88E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.018
75,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,,0,0,0,0,289.864067,1.2100000e-03,-1.21E-03,133.69719,2.140000e-03,-2.14E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.664
